Body
Date,Weight,BMI,Fat
2018-08-27,87.0,0,0
2019-10-16,91.0,0,0
2020-04-24,90.0,0,0
2020-04-25,90.0,0,0
2020-04-28,89.3,0,0
2020-04-29,90.3,0,0
2020-04-30,89.9,0,0
2020-05-01,90.0,0,0
2020-05-01,89.8,0,0
2020-05-02,91.0,0,0
2020-05-03,89.2,0,0
2020-05-04,88.9,0,0
2020-05-04,88.9,0,0
2020-05-04,90.8,0,0
2020-05-05,88.9,0,0
2020-05-05,88.9,0,0
2020-05-06,88.6,0,0
2020-05-06,88.6,0,0
2020-05-07,89.0,0,0
2020-05-07,89.3,0,0
2020-05-07,89.0,0,0
2020-05-08,88.5,0,0
2020-05-08,88.5,0,0
2020-05-09,88.7,0,0
2020-05-09,88.7,0,0
2020-05-10,88.7,0,0
2020-05-10,88.7,0,0
2020-05-11,89.0,0,0
2020-05-11,89.5,0,0
2020-05-11,89.0,0,0
2020-05-12,88.5,0,0
2020-05-12,88.4,0,0
2020-05-13,88.4,0,0
2020-05-13,88.4,0,0
2020-05-14,88.7,0,0
2020-05-14,88.7,0,0
2020-05-14,88.7,0,0
2020-05-14,88.7,0,0
2020-05-15,88.3,0,0
2020-05-15,88.3,0,0
2020-05-16,87.8,0,0
2020-05-16,87.8,0,0
2020-05-17,87.6,0,0
2020-05-17,87.6,0,0
2020-05-18,87.9,0,0
2020-05-18,87.9,0,0
2020-05-19,87.9,0,0
2020-05-19,87.9,0,0
2020-05-20,88.5,0,0
2020-05-20,88.5,0,0
2020-05-21,88.0,0,0
2020-05-21,88.0,0,0
2020-05-22,86.9,0,0
2020-05-22,86.9,0,0
2020-05-23,87.0,0,0
2020-05-23,87.0,0,0
2020-05-24,86.6,0,0
2020-05-24,86.6,0,0
2020-05-25,87.6,0,0
2020-05-25,87.6,0,0
2020-05-26,88.5,0,0
2020-05-26,88.5,0,0
2020-05-27,88.1,0,0
2020-05-27,88.1,0,0
2020-05-28,87.4,0,0
2020-05-28,87.4,0,0
2020-05-29,87.5,0,0
2020-05-29,88.0,0,0
2020-05-29,87.5,0,0
2020-05-30,86.8,0,0
2020-05-30,86.8,0,0
2020-05-31,87.1,0,0
2020-05-31,87.1,0,0
2020-06-01,87.1,0,0
2020-06-01,87.1,0,0
2020-06-02,87.2,0,0
2020-06-02,87.2,0,0
2020-06-03,86.7,0,0
2020-06-03,86.7,0,0
2020-06-04,86.6,0,0
2020-06-04,86.6,0,0
2020-06-05,85.8,0,0
2020-06-05,85.8,0,0
2020-06-06,87.1,0,0
2020-06-06,87.1,0,0
2020-06-07,87.1,0,0
2020-06-07,87.2,0,0
2020-06-08,87.4,0,0
2020-06-09,86.8,0,0
2020-06-10,85.9,0,0
2020-06-10,85.9,0,0
2020-06-11,86.3,0,0
2020-06-11,86.3,0,0
2020-06-12,87.2,0,0
2020-06-13,87.1,0,0
2020-06-15,86.7,0,0
2020-06-16,86.5,0,0
2020-06-17,85.9,0,0
2020-06-18,86.3,0,0
2020-06-19,86.3,0,0
2020-06-20,86.9,0,0
2020-06-21,87.1,0,0
2020-06-22,86.5,0,0
2020-06-23,85.0,0,0
2020-06-23,85.6,0,0
2020-06-24,86.3,0,0
2020-06-27,86.1,0,0
2020-06-28,86.1,0,0
2020-06-28,85.4,0,0
2020-06-29,84.6,0,0
2020-06-30,85.3,0,0
2020-07-01,85.8,0,0
2020-07-02,86.5,0,0
2020-07-03,85.2,0,0
2020-07-04,84.8,0,0
2020-07-05,84.9,0,0
2020-07-06,84.9,0,0
2020-07-06,84.7,0,0
2020-07-07,85.6,0,0
2020-07-07,85.6,0,0
2020-07-08,85.9,0,0
2020-07-09,85.1,0,0
2020-07-10,84.8,0,0
2020-07-11,84.4,0,0
2020-07-12,84.8,0,0
2020-07-13,85.5,0,0
2020-07-14,86.3,0,0
2020-07-15,85.1,0,0
2020-07-16,84.8,0,0
2020-07-17,83.8,0,0
2020-07-18,84.7,0,0
2020-07-19,84.9,0,0
2020-07-20,85.6,0,0
2020-07-21,85.0,0,0
2020-07-22,85.0,0,0
2020-07-23,83.4,0,0
2020-07-24,84.6,0,0
2020-07-24,84.3,0,0
2020-07-25,85.4,0,0
2020-07-28,86.0,0,0
2020-07-29,83.8,0,0
2020-07-31,85.3,0,0
2020-08-01,85.0,0,0
2020-08-03,84.3,0,0
2020-08-04,84.1,0,0
2020-08-05,84.5,0,0
2020-08-06,85.1,0,0
2020-08-07,86.1,0,0
2020-08-07,85.4,0,0
2020-08-08,84.7,0,0
2020-08-09,84.3,0,0
2020-08-10,84.5,0,0
2020-08-11,84.3,0,0
2020-08-12,84.5,0,0
2020-08-13,85.4,0,0
2020-08-13,85.0,0,0
2020-08-15,83.7,0,0
2020-08-16,83.3,0,0
2020-08-18,84.1,0,0
2020-08-19,85.2,0,0
2020-08-19,84.7,0,0
2020-08-20,84.2,0,0
2020-08-21,84.6,0,0
2020-08-22,84.2,0,0
2020-08-23,83.7,0,0
2020-08-24,84.7,0,0
2020-08-24,84.4,0,0
2020-08-25,84.0,0,0
2020-08-26,84.3,0,0
2020-08-27,83.6,0,0
2020-08-28,83.5,0,0
2020-09-06,84.4,0,0
2020-09-07,84.1,0,0
2020-09-08,84.3,0,0
2020-09-09,84.4,0,0
2020-09-10,84.5,0,0
2020-09-11,84.5,0,0
2020-09-18,85.0,0,0
2020-09-19,84.5,0,0
2020-09-20,84.0,0,0
2020-09-21,84.7,0,0
2020-09-25,84.3,0,0
2020-09-26,84.3,0,0
2020-09-27,84.2,0,0
2020-10-07,85.7,0,0
2020-10-08,84.8,0,0
2020-10-09,85.4,0,0
2020-10-10,84.8,0,0
2020-10-12,84.8,0,0
